"","nfi_plot","meas_date","time_step","meas_year"
"411",1224886,2019-07-28,"t2",2019
"412",1224896,2002-08-08,"t1",2002
"413",1224896,2019-07-29,"t2",2019
"414",1224916,2003-06-24,"t1",2003
"415",1224916,2019-07-22,"t2",2019
"416",1225141,2004-07-27,"t1",2004
"417",1225141,2011-07-14,"t2",2011
"418",1225151,2003-09-14,"t1",2003
"419",1225151,2014-08-10,"t2",2014
"420",1225161,2003-09-13,"t1",2003
"421",1225161,2009-08-29,"t2",2009
"422",1225161,2019-08-28,"t3",2019
"423",1225181,2003-09-15,"t1",2003
"424",1225181,2012-08-11,"t2",2012
"425",1225201,2003-09-26,"t1",2003
"426",1225201,2009-08-30,"t2",2009
"427",1225201,2019-08-27,"t3",2019
"428",1231676,2001-08-26,"t1",2001
"429",1231676,2021-07-26,"t2",2021
"430",1231761,2000-08-01,"t1",2000
"431",1231761,2018-07-20,"t2",2018
"432",1231781,2002-07-18,"t1",2002
"433",1231781,2019-07-24,"t2",2019
"434",1238556,2003-07-03,"t1",2003
"435",1238556,2021-08-10,"t2",2021
"436",1238891,2004-07-27,"t1",2004
"437",1238891,2012-08-07,"t2",2012
"438",1238901,2004-07-28,"t1",2004
"439",1238901,2014-08-11,"t2",2014
"440",1238911,2006-09-09,"t1",2006
"441",1238911,2011-07-15,"t2",2011
"442",1238921,2004-09-08,"t1",2004
"443",1238921,2016-09-06,"t2",2016
"444",1238931,2006-09-08,"t1",2006
"445",1238931,2012-08-10,"t2",2012
"446",1238941,2003-09-27,"t1",2003
"447",1238941,2013-09-02,"t2",2013
"448",1238951,2004-09-11,"t1",2004
"449",1238951,2009-08-26,"t2",2009
"450",1238951,2018-07-26,"t3",2018
"451",1239011,2003-08-30,"t1",2003
"452",1239011,2013-09-05,"t2",2013
"453",1245451,2002-08-03,"t1",2002
"454",1245451,2021-08-12,"t2",2021
"455",1245481,2002-08-16,"t1",2002
"456",1245481,2017-07-24,"t2",2017
"457",1245546,2000-07-30,"t1",2000
"458",1245546,2019-09-10,"t2",2019
"459",1245561,2005-06-13,"t1",2005
"460",1245561,2019-09-05,"t2",2019
"461",1245881,2003-08-29,"t1",2003
"462",1245881,2012-08-28,"t2",2012
"463",1252421,2005-06-26,"t1",2005
"464",1252421,2019-09-09,"t2",2019
"465",1252651,2004-07-17,"t1",2004
"466",1252651,2014-08-08,"t2",2014
"467",1252671,2004-07-18,"t1",2004
"468",1252671,2014-08-09,"t2",2014
"469",1252691,2003-08-29,"t1",2003
"470",1252691,2015-08-31,"t2",2015
"471",1252701,2003-09-12,"t1",2003
"472",1252701,2009-08-27,"t2",2009
"473",1252701,2018-07-25,"t3",2018
"474",1252711,2003-09-25,"t1",2003
"475",1252711,2013-09-01,"t2",2013
"476",1252721,2003-09-24,"t1",2003
"477",1252721,2009-08-30,"t2",2009
"478",1252761,2004-09-26,"t1",2004
"479",1252761,2017-10-07,"t2",2017
"480",1252776,2003-08-26,"t1",2003
"481",1252776,2018-08-22,"t2",2018
"482",1259261,2002-08-21,"t1",2002
"483",1259261,2018-07-04,"t2",2018
"484",1259296,2001-06-17,"t1",2001
"485",1259296,2018-07-09,"t2",2018
"486",1259336,2001-07-30,"t1",2001
"487",1259336,2019-09-07,"t2",2019
"488",1259646,2003-08-27,"t1",2003
"489",1259646,2013-09-04,"t2",2013
"490",1259661,2003-08-27,"t1",2003
"491",1259661,2008-08-19,"t2",2008
"492",1259661,2018-08-23,"t3",2018
"493",1259711,2003-07-19,"t1",2003
"494",1259711,2009-07-08,"t2",2009
"495",1259711,2019-09-24,"t3",2019
"496",1259731,2003-07-02,"t1",2003
"497",1259731,2009-07-06,"t2",2009
"498",1259731,2019-06-24,"t3",2019
"499",1259736,2003-08-26,"t1",2003
"500",1259736,2013-08-20,"t2",2013
"501",1266391,2004-07-30,"t1",2004
"502",1266391,2012-08-06,"t2",2012
"503",1266411,2004-07-29,"t1",2004
"504",1266411,2012-08-05,"t2",2012
"505",1266441,2006-09-09,"t1",2006
"506",1266441,2016-09-04,"t2",2016
"507",1266451,2006-09-10,"t1",2006
"508",1266451,2015-09-01,"t2",2015
"509",1266461,2006-09-20,"t1",2006
"510",1266461,2015-08-30,"t2",2015
