"","ABIE AMA","ABIE BAL","ABIE LAS","ACER MAC","ALNU INC","ALNU RUB","AMEL ALN","BETU OCC","BETU PAP","BETU PAP NEO","BETU PAP PAP","CHAM NOO","CORN STO","JUNI SCO","LARI LYA","LARI OCC","PICE ENG","PICE ENG GLA","PICE GLA","PICE MAR","PICE SIT","PINU ALB","PINU BAN","PINU CON","PINU CON CON","PINU CON LAT","PINU PON","POPU BAL","POPU TRE","PRUN VIR","PSEU MEN","PSEU MEN GLA","PSEU MEN MEN","QUER MAC","SALI SCO","TAXU BRE","THUJ PLI","TSUG HET","TSUG MER"
"71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7300.332,0,0,187.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.765623,0,0,2.316063,0,0,0,0,0,0.681195,0,0,0,0,0,0,0,0,0,0
"73",0,0,12267.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",0,0,6969.8963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2654.6962,0,0,0,440.9184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238.4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.450384,3648.508272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3065.36468,251.2594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245.196972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.701856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
