"","nfi_plot","meas_date","NFI_species","utm_n","utm_e","biomass_composition"
"167",1280181,"2004-JUL-20","SALI SPP",5980000,310000,5.5126
"168",1280181,"2011-JUL-12","POPU BAL",5980000,310000,0.2834
"169",1280191,"2004-JUL-29","POPU TRE",5970000,340000,1072.125
"170",1280191,"2016-SEP-05","BETU PAP",5970000,340000,113.257
"171",1280191,"2016-SEP-05","PICE MAR",5970000,340000,253.69568
"172",1280191,"2016-SEP-05","POPU BAL",5970000,340000,36.24224
"173",1280191,"2016-SEP-05","POPU TRE",5970000,340000,1861.94508
"174",1280201,"2004-JUL-21","POPU BAL",5960000,380000,2314.9447
"175",1280201,"2004-JUL-21","POPU TRE",5960000,380000,491.99919
"176",1280201,"2004-JUL-21","SALI SPP",5960000,380000,1.13961
"177",1280201,"2011-JUL-13","POPU BAL",5960000,380000,2698.8614
"178",1280201,"2011-JUL-13","POPU TRE",5960000,380000,508.2645
"179",1280201,"2011-JUL-13","SALI SPP",5960000,380000,3.1066
"180",1280211,"2006-SEP-10","BETU PAP",5940000,420000,0.546117
"181",1280211,"2006-SEP-10","PICE GLA",5940000,420000,1247.12952
"182",1280211,"2006-SEP-10","POPU TRE",5940000,420000,3993.044614
"183",1280211,"2006-SEP-10","SALI SPP",5940000,420000,0.277849
"184",1280211,"2015-SEP-02","BETU PAP",5940000,420000,13.047179
"185",1280211,"2015-SEP-02","PICE GLA",5940000,420000,1655.76471
"186",1280211,"2015-SEP-02","POPU TRE",5940000,420000,3809.208811
"187",1280241,"2004-SEP-28","CORY COR",5910000,540000,63.933222
"188",1280241,"2004-SEP-28","POPU TRE",5910000,540000,1022.142178
"189",1280241,"2009-AUG-31","POPU TRE",5910000,540000,1535.204265
"190",1280241,"2009-AUG-31","PRUN SPP",5910000,540000,0.374661
"191",1280241,"2009-AUG-31","SALI SPP",5910000,540000,0.374661
"192",1280241,"2019-AUG-24","POPU TRE",5910000,540000,3218.80312
"193",1280241,"2019-AUG-24","PRUN PEN",5910000,540000,2.33368
"194",1280271,"2004-SEP-25","LARI LAR",5870000,650000,60.578376
"195",1280271,"2004-SEP-25","PICE MAR",5870000,650000,436.540024
"196",1280271,"2004-SEP-25","PINU BAN",5870000,650000,303.7385
"197",1280271,"2013-AUG-30","LARI LAR",5870000,650000,67.694936
"198",1280271,"2013-AUG-30","PICE MAR",5870000,650000,356.150984
"199",1280271,"2013-AUG-30","PINU BAN",5870000,650000,328.08888
"200",1293921,"2006-SEP-18","PICE MAR",5960000,610000,70.118
"201",1293921,"2014-AUG-06","PICE MAR",5960000,610000,122.29252
"202",1293931,"2004-JUL-19","PICE MAR",5950000,650000,24.891504
"203",1293931,"2004-JUL-19","PINU BAN",5950000,650000,493.671576
"204",1293931,"2012-AUG-04","PICE GLA",5950000,650000,2628.64754
"205",1293931,"2012-AUG-04","PICE MAR",5950000,650000,2141.11432
"206",1293931,"2012-AUG-04","PINU BAN",5950000,650000,367.79544
"207",1294021,"2003-SEP-04","ALNU RUG",5850000,6e+05,8.275178
"208",1294021,"2003-SEP-04","BETU NAN",5850000,6e+05,1.347122
"209",1294021,"2003-SEP-04","LARI LAR",5850000,6e+05,1000.43351
"210",1294021,"2003-SEP-04","PICE MAR",5850000,6e+05,1310.03649
"211",1294021,"2013-AUG-28","LARI LAR",5850000,6e+05,104.8355
"212",1294021,"2013-AUG-28","PICE MAR",5850000,6e+05,1267.5088
"213",1294041,"2004-SEP-26","AMEL ALN",5820000,680000,4.9494
"214",1294041,"2004-SEP-26","BETU PAP",5820000,680000,0.65992
"215",1294041,"2004-SEP-26","CORN STO",5820000,680000,0.65992
"216",1294041,"2004-SEP-26","CORY COR",5820000,680000,5.44434
"217",1294041,"2004-SEP-26","POPU BAL",5820000,680000,1.81478
"218",1294041,"2004-SEP-26","POPU TRE",5820000,680000,1.15486
"219",1294041,"2004-SEP-26","PRUN VIR",5820000,680000,1.81478
"220",1294041,"2013-AUG-29","BETU PAP",5820000,680000,0.058284
"221",1294051,"2004-SEP-25","ALNU INC",5810000,310000,60.6524
"222",1294051,"2004-SEP-25","POPU BAL",5810000,310000,424.5731
"223",1294051,"2017-OCT-04","PICE MAR",5810000,710000,135.048513
"224",1294051,"2017-OCT-04","PICE SPP",5810000,710000,21.55959
"225",1294051,"2017-OCT-04","POPU BAL",5810000,710000,1524.019567
"226",1307731,"2003-SEP-30","PICE GLA",5870000,4e+05,76.52517
"227",1307731,"2003-SEP-30","POPU TRE",5870000,4e+05,974.396745
"228",1307731,"2015-AUG-28","PICE GLA",5870000,4e+05,284.75517
"229",1307731,"2015-AUG-28","POPU TRE",5870000,4e+05,1689.96783
"230",1321581,"2003-SEP-05","POPU BAL",5720000,310000,190.05536
"231",1321581,"2003-SEP-05","POPU TRE",5720000,310000,5386.88161
"232",1321581,"2003-SEP-05","SALI SPP",5720000,310000,362.29303
"233",1321581,"2013-AUG-26","BETU PAP",5720000,310000,69.5484
"234",1321581,"2013-AUG-26","POPU BAL",5720000,310000,463.656
"235",1321581,"2013-AUG-26","POPU TRE",5720000,310000,3326.7318
"236",812056,"2005-AUG-08","PICE GLA  ",7480000,4e+05,682.8608
"237",812056,"2005-AUG-08","PICE MAR  ",7480000,4e+05,59.3792
"238",812056,"2005-AUG-08","SALI PLA  ",7480000,4e+05,1.522455
"239",812056,"2005-AUG-08","SALI SPP  ",7480000,4e+05,1.217964
"240",812056,"2021-JUL-17","PICE GLA  ",7480000,4e+05,642.07175
"241",812056,"2021-JUL-17","PICE MAR  ",7480000,4e+05,51.63075
"242",839566,"2005-AUG-08","PICE GLA  ",7400000,620000,626.94
"243",839566,"2021-JUL-19","PICE GLA  ",7400000,620000,748.87
"244",846436,"2005-AUG-12","BETU GLA  ",7380000,580000,0.441825
"245",846436,"2005-AUG-12","PICE MAR  ",7380000,580000,138.400675
"246",846436,"2021-JUL-19","PICE MAR  ",7380000,580000,160.0654
"247",846466,"2005-AUG-10","LARI LAR  ",7380000,430000,38.0259
"248",846466,"2005-AUG-10","PICE GLA  ",7380000,430000,237.5241
"249",846466,"2021-JUL-20","LARI LAR  ",7380000,430000,106.4353
"250",846466,"2021-JUL-20","PICE GLA  ",7380000,430000,282.0147
"251",853296,"2005-AUG-13","PICE GLA  ",7360000,510000,130.84633
"252",853296,"2005-AUG-13","PICE MAR  ",7360000,510000,0.739545
"253",853296,"2021-JUL-21","LARI LAR  ",7360000,510000,393.189195
"254",853296,"2021-JUL-21","PICE GLA  ",7360000,510000,782.94789
"255",853296,"2021-JUL-21","PICE MAR  ",7360000,510000,27.35262
"256",853296,"2021-JUL-21","POPU TRE  ",7360000,510000,0.759795
"257",853326,"2005-AUG-12","LARI LAR  ",7360000,620000,19.603215
"258",853326,"2005-AUG-12","PICE GLA  ",7360000,620000,279.6
"259",853326,"2005-AUG-12","PICE MAR  ",7360000,620000,20.038842
"260",853326,"2021-JUL-18","LARI LAR  ",7360000,620000,18.8592
"261",853326,"2021-JUL-18","PICE GLA  ",7360000,620000,300.07839
"262",853346,"2005-AUG-09","ALNU CRI  ",7360000,430000,0.284695
"263",853346,"2005-AUG-09","LARI LAR  ",7360000,430000,21.77274
"264",853346,"2005-AUG-09","PICE GLA  ",7360000,430000,665.053285
"265",853346,"2005-AUG-09","PICE MAR  ",7360000,430000,0.284695
"266",853346,"2005-AUG-09","SALI SPP  ",7360000,430000,0.854085
"267",853346,"2021-JUL-20","PICE GLA  ",7360000,430000,475.6448
"268",860171,"2006-JUL-26","PICE GLA  ",7330000,490000,0.30909
"269",860171,"2006-JUL-26","PICE MAR  ",7330000,490000,9.99391
"270",860171,"2021-JUL-21","PICE MAR  ",7330000,490000,54.5923
"271",867091,"2005-AUG-07","BETU GLA  ",7320000,370000,2.293914
"272",867091,"2005-AUG-07","LARI LAR  ",7320000,370000,0.382319
"273",867091,"2005-AUG-07","PICE GLA  ",7320000,370000,78.66
"274",867091,"2005-AUG-07","SALI PLA  ",7320000,370000,0.764638
"275",867091,"2005-AUG-07","SALI SPP  ",7320000,370000,1.146957
"276",867091,"2021-JUL-17","LARI LAR  ",7320000,370000,11.580765
"277",867091,"2021-JUL-17","PICE GLA  ",7320000,370000,104.41102
"278",867091,"2021-JUL-17","PICE MAR  ",7320000,370000,50.955366
"279",873921,"2006-JUL-24","LARI LAR  ",7290000,450000,10.619784
"280",873921,"2006-JUL-24","PICE MAR  ",7290000,450000,100.249016
"281",873921,"2021-JUL-16","LARI LAR  ",7290000,450000,16.600311
"282",873921,"2021-JUL-16","PICE MAR  ",7290000,450000,133.678789
"283",873961,"2005-AUG-01","PICE GLA  ",7300000,610000,234.55848
"284",873961,"2005-AUG-01","PICE MAR  ",7300000,610000,139.119408
"285",873961,"2005-AUG-01","PICE SPP  ",7300000,610000,0.635664
"286",873961,"2019-AUG-03","LARI LAR  ",7300000,610000,8.12155
"287",873961,"2019-AUG-03","PICE GLA  ",7300000,610000,293.95497
"288",873961,"2019-AUG-03","PICE MAR  ",7300000,610000,118.79848
"289",874051,"2006-JUL-30","PICE GLA  ",7280000,410000,730.1861
"290",874051,"2006-JUL-30","PICE MAR  ",7280000,410000,48.2639
"291",874051,"2019-AUG-08","PICE GLA  ",7280000,410000,1007.92224
"292",874051,"2019-AUG-08","PICE MAR  ",7280000,410000,68.91776
"293",880786,"2006-JUL-26","PICE MAR  ",7270000,390000,36.4429
"294",880786,"2021-JUL-16","PICE MAR  ",7270000,390000,62.9512
"295",880796,"2006-JUL-25","LARI LAR  ",7270000,430000,3.09291
"296",880796,"2006-JUL-25","PICE MAR  ",7270000,430000,17.52649
"297",880796,"2021-JUL-13","LARI LAR  ",7270000,430000,5.233504
"298",880796,"2021-JUL-13","PICE MAR  ",7270000,430000,27.475896
"299",880806,"2002-AUG-12","LARI LAR  ",7280000,470000,19.52956
"300",880806,"2002-AUG-12","PICE MAR  ",7280000,470000,64.85044
"301",880806,"2021-JUL-15","LARI LAR  ",7280000,470000,29.347491
"302",880806,"2021-JUL-15","PICE MAR  ",7280000,470000,92.020809
"303",880821,"2005-AUG-01","LARI LAR  ",7280000,530000,20.349
"304",880821,"2005-AUG-01","PICE GLA  ",7280000,530000,0.412928
"305",880821,"2005-AUG-01","PICE MAR  ",7280000,530000,95.931
"306",880821,"2021-JUL-14","PICE MAR  ",7280000,530000,176.604056
"307",880841,"2002-AUG-07","PICE MAR  ",7280000,610000,115.09
"308",880841,"2019-AUG-03","PICE MAR  ",7280000,610000,545.72
"309",880846,"2002-AUG-09","LARI LAR  ",7280000,630000,1.324992
"310",880846,"2002-AUG-09","PICE MAR  ",7280000,630000,23.482608
"311",880846,"2019-AUG-04","LARI LAR  ",7280000,630000,39.378504
"312",880846,"2019-AUG-04","PICE MAR  ",7280000,630000,66.010296
"313",880886,"2005-AUG-03","PICE GLA  ",7280000,510000,126.680922
"314",880886,"2005-AUG-03","PICE MAR  ",7280000,510000,102.7044
"315",880886,"2019-AUG-07","LARI LAR  ",7280000,510000,40.02075
"316",880886,"2019-AUG-07","PICE GLA  ",7280000,510000,136.23393
"317",880886,"2019-AUG-07","PICE MAR  ",7280000,510000,125.32212
"318",887701,"2005-AUG-02","ALNU CRI  ",7260000,530000,0.69854
"319",887701,"2005-AUG-02","BETU GLA  ",7260000,530000,0.69854
"320",887701,"2005-AUG-02","LARI LAR  ",7260000,530000,0.69854
"321",887701,"2005-AUG-02","PICE MAR  ",7260000,530000,32.83138
"322",887701,"2021-JUL-13","PICE MAR  ",7260000,530000,8.2619
"323",887706,"2005-JUL-31","ALNU CRI  ",7260000,550000,4.73504
"324",887706,"2005-JUL-31","BETU GLA  ",7260000,550000,14.20512
"325",887706,"2005-JUL-31","SALI SPP  ",7260000,550000,4.73504
"326",887706,"2019-AUG-02","LARI LAR  ",7260000,550000,2.578184
"327",887706,"2019-AUG-02","PICE MAR  ",7260000,550000,6.629616
"328",887711,"2002-AUG-09","PICE GLA  ",7260000,570000,191.29771
"329",887711,"2002-AUG-09","PICE MAR  ",7260000,570000,2230.67069
"330",887711,"2019-AUG-01","PICE GLA  ",7260000,570000,1581.3081
"331",887711,"2019-AUG-01","PICE MAR  ",7260000,570000,2558.2419
"332",887711,"2019-AUG-01","POPU TRE  ",7260000,570000,0.5236
"333",887751,"2005-AUG-03","LARI LAR  ",7260000,450000,46.690728
"334",887751,"2005-AUG-03","PICE GLA  ",7260000,450000,166.588294
"335",887751,"2005-AUG-03","PICE MAR  ",7260000,450000,616.860678
"336",887751,"2005-AUG-03","SALI SPP  ",7260000,450000,0.512194
"337",887751,"2019-AUG-05","LARI LAR  ",7260000,450000,44.730629
"338",887751,"2019-AUG-05","PICE GLA  ",7260000,450000,216.377743
"339",887751,"2019-AUG-05","PICE MAR  ",7260000,450000,650.648967
"340",887761,"2005-AUG-04","PICE GLA  ",7260000,490000,1080.60557
"341",887761,"2005-AUG-04","PICE MAR  ",7260000,490000,255.12443
"342",887761,"2019-AUG-08","PICE GLA  ",7260000,490000,1368.00264
"343",887761,"2019-AUG-08","PICE MAR  ",7260000,490000,394.88736
"344",894591,"2005-JUL-30","BETU PAP  ",7240000,570000,5.442066
"345",894591,"2005-JUL-30","BETU PAP NEO",7240000,570000,0.604674
"346",894591,"2005-JUL-30","POPU TRE  ",7240000,570000,19.49196
"347",894591,"2019-JUL-31","BETU PAP NEO",7240000,570000,172.68064
"348",894591,"2019-JUL-31","PICE MAR  ",7240000,570000,871.67408
"349",894591,"2019-JUL-31","POPU TRE  ",7240000,570000,39.2456
"350",901506,"2006-JUL-29","LARI LAR  ",7220000,430000,47.43606
"351",901506,"2006-JUL-29","PICE MAR  ",7220000,430000,16.49394
"352",901506,"2019-AUG-05","LARI LAR  ",7220000,430000,91.97653
"353",901506,"2019-AUG-05","PICE MAR  ",7220000,430000,26.09347
"354",901546,"2006-JUL-30","LARI LAR  ",7210000,580000,11.231148
"355",901546,"2006-JUL-30","PICE GLA  ",7210000,580000,459.138879
"356",901546,"2006-JUL-30","PICE MAR  ",7210000,580000,176.082873
"357",901546,"2019-AUG-06","LARI LAR  ",7210000,580000,0.782343
"358",901546,"2019-AUG-06","PICE GLA  ",7210000,580000,403.117569
"359",901546,"2019-AUG-06","PICE MAR  ",7210000,580000,59.458068
"360",901566,"2005-AUG-05","PICE MAR  ",7210000,380000,516.4816
"361",901566,"2019-AUG-06","PICE GLA  ",7210000,380000,19.00304
"362",901566,"2019-AUG-06","PICE MAR  ",7210000,380000,434.56056
"363",908331,"2002-AUG-19","PICE GLA  ",7200000,490000,1000.8582
"364",908331,"2002-AUG-19","PICE MAR  ",7200000,490000,108.764
"365",908331,"2021-JUL-14","PICE GLA  ",7200000,490000,1979.0308
"366",908381,"2005-JUL-29","PICE MAR  ",7200000,410000,36.5071
"367",908381,"2019-AUG-02","PICE MAR  ",7200000,410000,NA
"368",915246,"2002-AUG-28","PICE GLA  ",7180000,630000,0.473108
"369",915246,"2002-AUG-28","PICE MAR  ",7180000,630000,0.473108
"370",915246,"2002-AUG-28","PICE SPP  ",7180000,630000,46.364584
"371",915246,"2019-JUL-31","BETU PAP  ",7180000,630000,1.722651
"372",915246,"2019-JUL-31","PICE MAR  ",7180000,630000,22.886649
"373",915266,"2005-AUG-29","ALNU CRI  ",7180000,430000,0.519801
"374",915266,"2005-AUG-29","BETU GLA  ",7180000,430000,0.519801
"375",915266,"2005-AUG-29","BETU NEO  ",7180000,430000,23.02
