"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","percent/100 * biomass_total"
"429",1342351,"2004-AUG-09",498.36,0,1,"PICE","MAR",NA,64.6,0.688,5470000,340000,321.94056
"430",1342351,"2004-AUG-09",498.36,0,2,"LARI","LAR",NA,35.4,0.313,5470000,340000,176.41944
"431",1342351,"2009-AUG-05",599.36,1,1,"PICE","MAR",NA,65.8,0.684,5470000,340000,394.37888
"432",1342351,"2009-AUG-05",599.36,1,2,"LARI","LAR",NA,34.2,0.316,5470000,340000,204.98112
"433",1342351,"2019-SEP-17",864.38,2,1,"PICE","MAR",NA,67.9,0.731,5470000,340000,586.91402
"434",1342351,"2019-SEP-17",864.38,2,2,"LARI","LAR",NA,32.1,0.269,5470000,340000,277.46598
"435",1349216,"2009-JUN-05",330.99,1,1,"POPU","TRE",NA,100,1,5470000,710000,330.99
"436",1356096,"2003-JUL-07",3401.4,0,1,"POPU","TRE",NA,83.3,0.862,5460000,7e+05,2833.3662
"437",1356096,"2003-JUL-07",3401.4,0,2,"POPU","BAL",NA,16.7,0.138,5460000,7e+05,568.0338
"438",1356096,"2014-JUL-08",5225.96,1,1,"POPU","TRE",NA,100,1,5460000,7e+05,5225.96
"439",1356106,"2003-JUN-16",2140.85,0,1,"PINU","BAN",NA,75.5,0.714,5440000,3e+05,1616.34175
"440",1356106,"2003-JUN-16",2140.85,0,2,"BETU","PAP",NA,24.5,0.286,5440000,3e+05,524.50825
"441",1356106,"2014-JUN-17",5391,1,1,"PINU","BAN",NA,61.3,0.571,5440000,3e+05,3304.683
"442",1356106,"2014-JUN-17",5391,1,2,"BETU","PAP",NA,38.7,0.429,5440000,3e+05,2086.317
