"","nfi_plot","meas_date","biomass_total","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","utm_n","utm_e","percent/100","percent/100 * biomass_total"
"116",1245881,"2012-AUG-28",4994.46,0,1,4,"POPU","BAL","",3.9,0.071,5960000,320000,0.039,194.78394
"117",1252776,"2003-AUG-26",112.46,0,0,1,"PICE","MAR","",71,0.667,5910000,370000,0.71,79.8466
"118",1252776,"2003-AUG-26",112.46,0,0,2,"LARI","LAR","",29,0.333,5910000,370000,0.29,32.6134
"119",1252776,"2018-AUG-22",90.62,0,1,1,"LARI","LAR","",55.1,0.5,5910000,370000,0.551,49.93162
"120",1252776,"2018-AUG-22",90.62,0,1,2,"PICE","MAR","",44.9,0.5,5910000,370000,0.449,40.68838
"121",1259646,"2003-AUG-27",219.83,0,0,2,"LARI","LAR","",19.4,0.2,5910000,330000,0.194,42.64702
"122",1259646,"2003-AUG-27",219.83,0,0,1,"PICE","MAR","",80.6,0.8,5910000,330000,0.806,177.18298
"123",1259646,"2013-SEP-04",247.37,0,1,1,"PICE","MAR","",70.7,0.727,5910000,330000,0.707,174.89059
"124",1259646,"2013-SEP-04",247.37,0,1,2,"LARI","LAR","",29.3,0.273,5910000,330000,0.293,72.47941
"125",1259661,"2003-AUG-27",347.03,0,0,1,"PICE","MAR","",100,1,5890000,380000,1,347.03
"126",1259661,"2008-AUG-19",403.24,0,1,1,"PICE","MAR","",100,1,5890000,380000,1,403.24
"127",1259661,"2018-AUG-23",504.05,0,2,1,"PICE","MAR","",100,1,5890000,380000,1,504.05
"128",1259711,"2003-JUL-19",244.34,0,0,1,"LARI","LAR","",100,1,5810000,570000,1,244.34
"129",1259711,"2009-JUL-08",276.22,0,1,2,"PICE","MAR","",12.6,0.167,5810000,570000,0.126,34.80372
"130",1259711,"2009-JUL-08",276.22,0,1,1,"LARI","LAR","",87.4,0.833,5810000,570000,0.874,241.41628
"131",1259731,"2003-JUL-02",2690.98,0,0,2,"PINU","BAN","",46,0.386,5780000,640000,0.46,1237.8508
"132",1259731,"2003-JUL-02",2690.98,0,0,1,"PICE","MAR","",54,0.614,5780000,640000,0.54,1453.1292
"133",1259731,"2019-JUN-24",2734.12,0,2,2,"PINU","BAN","",34.9,0.271,5780000,640000,0.349,954.20788
"134",1259731,"2019-JUN-24",2734.12,0,2,1,"PICE","MAR","",65.1,0.729,5780000,640000,0.651,1779.91212
"135",1266546,"2003-JUL-29",3691.98,0,0,1,"PICE","MAR","",95.1,0.968,5860000,390000,0.951,3511.07298
"136",1266546,"2003-JUL-29",3691.98,0,0,2,"LARI","LAR","",4.9,0.032,5860000,390000,0.049,180.90702
"137",1266546,"2008-AUG-09",3695.78,0,1,1,"PICE","MAR","",94.8,0.968,5860000,390000,0.948,3503.59944
"138",1266546,"2008-AUG-09",3695.78,0,1,2,"LARI","LAR","",5.2,0.032,5860000,390000,0.052,192.18056
"139",1266546,"2018-AUG-21",4413.78,0,2,2,"LARI","LAR","",5.7,0.031,5860000,390000,0.057,251.58546
"140",1266546,"2018-AUG-21",4413.78,0,2,1,"PICE","MAR","",94.3,0.969,5860000,390000,0.943,4162.19454
"141",1273421,"2003-JUN-09",1342.3,0,0,1,"POPU","TRE","",72.1,0.833,5850000,370000,0.721,967.7983
"142",1273421,"2003-JUN-09",1342.3,0,0,3,"BETU","PAP","PAP",9.9,0.056,5850000,370000,0.099,132.8877
"143",1273421,"2003-JUN-09",1342.3,0,0,2,"PICE","GLA","",15.1,0.083,5850000,370000,0.151,202.6873
"144",1273421,"2003-JUN-09",1342.3,0,0,4,"LARI","LAR","",2.8,0.028,5850000,370000,0.028,37.5844
"145",1273421,"2018-JUL-31",2156.51,0,2,5,"LARI","LAR","",8.1,0.029,5850000,370000,0.081,174.67731
"146",1273421,"2018-JUL-31",2156.51,0,2,1,"POPU","TRE","",45.2,0.647,5850000,370000,0.452,974.74252
"147",1273421,"2018-JUL-31",2156.51,0,2,2,"PICE","GLA","",27,0.118,5850000,370000,0.27,582.2577
"148",1273451,"2003-AUG-12",1073.27,0,0,1,"PINU","BAN","",76.1,0.75,5810000,480000,0.761,816.75847
"149",1273451,"2003-AUG-12",1073.27,0,0,2,"PICE","MAR","",23.9,0.25,5810000,480000,0.239,256.51153
"150",1273451,"2009-AUG-09",1350.17,0,1,2,"PICE","MAR","",29.9,0.278,5810000,480000,0.299,403.70083
"151",1273451,"2009-AUG-09",1350.17,0,1,1,"PINU","BAN","",70.1,0.722,5810000,480000,0.701,946.46917
"152",1280296,"2003-JUL-29",10482.17,0,0,1,"PICE","MAR","",96.6,0.979,5840000,340000,0.966,10125.77622
"153",1280296,"2003-JUL-29",10482.17,0,0,2,"PINU","BAN","",3.4,0.021,5840000,340000,0.034,356.39378
"154",1280296,"2018-SEP-10",9355.74,0,2,1,"PICE","MAR","",98,0.989,5840000,340000,0.98,9168.6252
"155",1280296,"2018-SEP-10",9355.74,0,2,2,"PINU","BAN","",2,0.011,5840000,340000,0.02,187.1148
"156",1280371,"2003-JUL-21",648.68,0,0,1,"POPU","TRE","",100,1,5730000,620000,1,648.68
"157",1280371,"2014-JUL-22",1754.01,0,1,1,"POPU","TRE","",100,1,5730000,620000,1,1754.01
"158",1287181,"2003-JUN-06",2251.7,0,0,4,"BETU","PAP","PAP",16,0.074,5810000,350000,0.16,360.272
"159",1287181,"2003-JUN-06",2251.7,0,0,5,"PINU","BAN","",6.7,0.037,5810000,350000,0.067,150.8639
"160",1287181,"2008-JUN-06",2423.09,0,1,5,"PINU","BAN","",7.2,0.048,5810000,350000,0.072,174.46248
"161",1287251,"2003-JUL-15",937.13,0,0,2,"ABIE","BAL","",6.6,0.125,5710000,610000,0.066,61.85058
"162",1287251,"2003-JUL-15",937.13,0,0,1,"PICE","MAR","",93.4,0.875,5710000,610000,0.934,875.27942
"163",1287251,"2009-JUL-11",1243.04,0,1,1,"PICE","MAR","",58.7,0.444,5710000,610000,0.587,729.66448
"164",1287251,"2009-JUL-11",1243.04,0,1,3,"BETU","PAP","",18.8,0.259,5710000,610000,0.188,233.69152
"165",1287251,"2009-JUL-11",1243.04,0,1,2,"ABIE","BAL","",22.5,0.296,5710000,610000,0.225,279.684
"166",1287251,"2019-JUN-26",2749.93,0,2,4,"PICE","GLA","",0.9,0.019,5710000,610000,0.009,24.74937
"167",1287251,"2019-JUN-26",2749.93,0,2,3,"ABIE","BAL","",21.9,0.241,5710000,610000,0.219,602.23467
"168",1287256,"2003-AUG-31",4159.64,0,0,3,"PICE","GLA","",13.8,0.065,5700000,630000,0.138,574.03032
"169",1287256,"2003-AUG-31",4159.64,0,0,1,"ABIE","BAL","",59.9,0.804,5700000,630000,0.599,2491.62436
"170",1287256,"2014-AUG-20",5625.12,0,1,1,"ABIE","BAL","",67.8,0.865,5700000,630000,0.678,3813.83136
"171",1287286,"2003-JUL-04",3130.6,0,0,2,"PINU","BAN","",43.7,0.333,5650000,320000,0.437,1368.0722
"172",1287286,"2003-JUL-04",3130.6,0,0,1,"PICE","MAR","",56.3,0.667,5650000,320000,0.563,1762.5278
"173",1287286,"2013-JUL-06",2919.1,0,1,1,"PICE","MAR","",63.8,0.732,5650000,320000,0.638,1862.3858
"174",1287286,"2013-JUL-06",2919.1,0,1,2,"PINU","BAN","",36.2,0.268,5650000,320000,0.362,1056.7142
"175",1294076,"2003-JUL-29",283.39,0,0,2,"LARI","LAR","",25.9,0.25,5770000,400000,0.259,73.39801
"176",1294076,"2003-JUL-29",283.39,0,0,1,"PINU","BAN","",74.1,0.75,5770000,400000,0.741,209.99199
"177",1294076,"2008-AUG-06",337.62,0,1,1,"PINU","BAN","",73.6,0.778,5770000,400000,0.736,248.48832
"178",1294076,"2008-AUG-06",337.62,0,1,2,"LARI","LAR","",26.4,0.222,5770000,400000,0.264,89.13168
"179",1294076,"2018-AUG-25",636.83,0,2,3,"PICE","MAR","",5.8,0.067,5770000,400000,0.058,36.93614
"180",1294161,"2003-JUN-19",6953.88,0,0,1,"PINU","BAN","",88.7,0.898,5640000,290000,0.887,6168.09156
"181",1294166,"2004-AUG-10",1323.82,0,0,1,"PINU","BAN","",100,1,5640000,310000,1,1323.82
"182",1294166,"2009-AUG-07",1412.4,0,1,1,"PINU","BAN","",100,1,5640000,310000,1,1412.4
"183",1294166,"2019-JUN-19",1537.67,0,2,1,"PINU","BAN","",100,1,5640000,310000,1,1537.67
"184",1307826,"2003-JUN-04",12856.89,0,0,1,"POPU","TRE","",85.7,0.854,5750000,350000,0.857,11018.35473
"185",1307826,"2003-JUN-04",12856.89,0,0,3,"POPU","SPP","",6.4,0.042,5750000,350000,0.064,822.84096
"186",1307826,"2008-JUN-10",13776.15,0,1,1,"POPU","TRE","",90.4,0.833,5750000,350000,0.904,12453.6396
"187",1307926,"2003-AUG-30",3851.18,0,0,3,"PICE","GLA","",8.5,0.048,5600000,290000,0.085,327.3503
"188",1307926,"2009-AUG-19",4395.5,0,1,4,"ABIE","BAL","",0.8,0.026,5600000,720000,0.008,35.164
"189",1307926,"2009-AUG-19",4395.5,0,1,3,"PICE","GLA","",8.8,0.051,5600000,720000,0.088,386.804
"190",1307926,"2019-SEP-19",4967.9,0,2,3,"PICE","GLA","",9.4,0.049,5600000,720000,0.094,466.9826
"191",1307926,"2019-SEP-19",4967.9,0,2,4,"ABIE","BAL","",0.9,0.024,5600000,720000,0.009,44.7111
"192",1314711,"2003-JUN-07",2911.42,0,0,1,"POPU","TRE","",90.5,0.918,5720000,360000,0.905,2634.8351
"193",1314711,"2018-AUG-24",5203.49,0,2,1,"POPU","TRE","",77.3,0.8,5720000,360000,0.773,4022.29777
"194",1314711,"2018-AUG-24",5203.49,0,2,2,"PICE","MAR","",10.7,0.13,5720000,360000,0.107,556.77343
"195",1314711,"2018-AUG-24",5203.49,0,2,3,"PICE","GLA","",8.3,0.052,5720000,360000,0.083,431.88967
"196",1314711,"2018-AUG-24",5203.49,0,2,4,"POPU","BAL","",3.6,0.017,5720000,360000,0.036,187.32564
"197",1314811,"2003-JUN-05",1772.78,0,0,1,"POPU","TRE","",59.6,0.826,5570000,300000,0.596,1056.57688
"198",1314811,"2003-JUN-05",1772.78,0,0,3,"ABIE","BAL","",18.1,0.043,5570000,300000,0.181,320.87318
"199",1314811,"2003-JUN-05",1772.78,0,0,2,"PICE","GLA","",22.3,0.13,5570000,300000,0.223,395.32994
"200",1314811,"2009-JUN-03",1677.51,0,1,3,"ABIE","BAL","",16.4,0.074,5570000,300000,0.164,275.11164
"201",1314811,"2009-JUN-03",1677.51,0,1,2,"PICE","GLA","",22.6,0.148,5570000,300000,0.226,379.11726
"202",1314811,"2009-JUN-03",1677.51,0,1,1,"POPU","TRE","",61,0.778,5570000,300000,0.61,1023.2811
"203",1314811,"2019-JUN-22",2720.36,0,2,3,"ABIE","BAL","",5.4,0.029,5570000,730000,0.054,146.89944
"204",1314811,"2019-JUN-22",2720.36,0,2,2,"PICE","GLA","",25.5,0.118,5570000,730000,0.255,693.6918
