"","nfi_plot","meas_date","biomass_total","meas_num","species_num","genus","species","variety","percent","species_rel","utm_n","utm_e","biomass_composition"
"510",1162841,"2003-JUN-26",1898.81,0,1,"ABIE","LAS",NA,100,1,6460000,330000,1898.81
"511",1162966,"2004-AUG-24",3441.11,0,2,"ABIE","LAS",NA,31.8,0.29,6460000,470000,1094.27298
"512",1162966,"2004-AUG-24",3441.11,0,3,"PICE","GLA",NA,10,0.129,6460000,470000,344.111
"513",1162966,"2004-AUG-24",3441.11,0,1,"PICE","MAR",NA,58.2,0.581,6460000,470000,2002.72602
"514",1162966,"2020-JUL-07",3710.23,1,3,"PICE","GLA",NA,10.5,0.131,6460000,470000,389.57415
"515",1162966,"2020-JUL-07",3710.23,1,1,"PICE","MAR",NA,51.4,0.574,6460000,470000,1907.05822
"516",1162966,"2020-JUL-07",3710.23,1,2,"ABIE","LAS",NA,38.1,0.295,6460000,470000,1413.59763
"517",1163006,"2001-JUL-19",389.61,0,2,"PICE","MAR",NA,36.9,0.353,6460000,630000,143.76609
"518",1163006,"2001-JUL-19",389.61,0,1,"LARI","LAR",NA,63.1,0.647,6460000,630000,245.84391
"519",1163006,"2019-JUL-17",427.62,1,1,"LARI","LAR",NA,66.3,0.733,6460000,630000,283.51206
"520",1163006,"2019-JUL-17",427.62,1,2,"PICE","MAR",NA,33.7,0.267,6460000,630000,144.10794
"521",1169811,"2003-JUL-24",4638.29,0,3,"PINU","CON","LAT",13.9,0.2,6450000,330000,644.72231
"522",1169811,"2003-JUL-24",4638.29,0,2,"PICE","ENG","GLA",25.7,0.367,6450000,330000,1192.04053
"523",1169811,"2003-JUL-24",4638.29,0,1,"ABIE","LAS",NA,60.5,0.433,6450000,330000,2806.16545
"524",1169811,"2018-JUL-17",5283.19,1,3,"PINU","CON",NA,10.6,0.148,6450000,330000,560.01814
"525",1176611,"2002-AUG-01",5240.63,0,1,"POPU","TRE",NA,55.2,0.75,6420000,370000,2892.82776
"526",1176611,"2021-AUG-07",6594.66,1,1,"POPU","TRE",NA,56.3,0.684,6420000,370000,3712.79358
"527",1176651,"2001-AUG-18",1452.33,0,1,"PICE","MAR",NA,100,1,6420000,530000,1452.33
"528",1176651,"2021-AUG-04",1258.11,1,1,"PICE","MAR",NA,100,1,6420000,530000,1258.11
"529",1176656,"2003-JUN-27",1971.61,0,1,"ABIE","LAS",NA,100,1,6420000,550000,1971.61
"530",1176656,"2021-JUL-31",1924.72,1,1,"ABIE","LAS",NA,100,1,6420000,550000,1924.72
"531",1183516,"2005-JUL-18",5234.79,0,2,"POPU","TRE",NA,33.5,0.316,6400000,470000,1753.65465
"532",1183516,"2005-JUL-18",5234.79,0,1,"PICE","ENG","GLA",59.6,0.579,6400000,470000,3119.93484
"533",1183516,"2005-JUL-18",5234.79,0,3,"ABIE","LAS",NA,6.9,0.105,6400000,470000,361.20051
"534",1183516,"2021-JUL-29",4538.87,1,1,"PICE","ENG","GLA",51.6,0.429,6400000,470000,2342.05692
"535",1183601,"2003-JUN-21",4681.73,0,2,"POPU","BAL",NA,16.1,0.066,6400000,450000,753.75853
