"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","meas_date","utm_n","utm_e"
"41",1238941,0,0,1,"BETU","PAP",NA,48,0.733,"2003-SEP-27",6050000,490000
"42",1238941,0,1,1,"BETU","PAP",NA,86,0.963,"2013-SEP-02",6050000,490000
"43",1238941,0,1,2,"PICE","MAR",NA,14,0.037,"2013-SEP-02",6050000,490000
"44",1238951,0,0,1,"BETU","PUM",NA,56,0.556,"2004-SEP-11",6030000,530000
"45",1238951,0,0,2,"PINU","BAN",NA,22,0.222,"2004-SEP-11",6030000,530000
"46",1238951,0,0,3,"SALI","SPP",NA,22,0.222,"2004-SEP-11",6030000,530000
"47",1238951,0,1,1,"PINU","BAN",NA,78,0.778,"2009-AUG-26",6040000,530000
"48",1238951,0,1,2,"BETU","PUM",NA,11,0.111,"2009-AUG-26",6040000,530000
"49",1238951,0,1,3,"SALI","SPP",NA,11,0.111,"2009-AUG-26",6040000,530000
"50",1238951,0,2,1,"PINU","BAN",NA,92,0.765,"2018-JUL-26",6040000,530000
"51",1238951,0,2,2,"PICE","MAR",NA,8,0.235,"2018-JUL-26",6040000,530000
"52",1252651,0,0,1,"PINU","BAN",NA,100,1,"2004-JUL-17",6070000,680000
"53",1252651,0,1,1,"PINU","BAN",NA,100,1,"2014-AUG-08",6070000,680000
"54",1252671,0,0,1,"LARI","LAR",NA,91,0.833,"2004-JUL-18",6040000,370000
"55",1252671,0,0,2,"PICE","MAR",NA,9,0.167,"2004-JUL-18",6040000,370000
"56",1252671,0,1,1,"LARI","LAR",NA,67,0.84,"2014-AUG-09",6040000,370000
"57",1252671,0,1,2,"PICE","MAR",NA,33,0.16,"2014-AUG-09",6040000,370000
"58",1252691,0,0,1,"ABIE","BAL",NA,99,0.933,"2003-AUG-29",6020000,440000
"59",1252691,0,0,2,"PICE","GLA",NA,1,0.067,"2003-AUG-29",6020000,440000
"60",1252691,0,1,1,"ABIE","BAL",NA,100,1,"2015-AUG-31",6020000,440000
"61",1252701,0,0,1,"PICE","MAR",NA,100,1,"2003-SEP-12",6010000,480000
"62",1252701,0,1,1,"PICE","MAR",NA,100,1,"2009-AUG-27",6010000,480000
"63",1252701,0,2,1,"PICE","MAR",NA,100,0.5,"2018-JUL-25",6010000,480000
"64",1252701,0,2,2,"POPU","TRE",NA,0,0.5,"2018-JUL-25",6010000,480000
"65",1252711,0,0,1,"POPU","TRE",NA,92,0.522,"2003-SEP-25",6000000,520000
"66",1252711,0,0,2,"ALNU","CRI",NA,8,0.478,"2003-SEP-25",6000000,520000
"67",1252711,0,1,1,"POPU","TRE",NA,100,0.833,"2013-SEP-01",6000000,520000
"68",1252721,0,0,1,"PICE","MAR",NA,100,1,"2003-SEP-24",5980000,560000
"69",1252721,0,1,1,"PICE","MAR",NA,100,1,"2009-AUG-30",5990000,560000
"70",1252761,0,0,1,"PICE","MAR",NA,100,0.971,"2004-SEP-26",5940000,310000
"71",1252761,0,0,2,"LARI","LAR",NA,1,0.029,"2004-SEP-26",5940000,310000
"72",1252761,0,1,1,"PICE","MAR",NA,99,0.951,"2017-OCT-07",5940000,710000
"73",1252761,0,1,2,"LARI","LAR",NA,1,0.049,"2017-OCT-07",5940000,710000
"74",1266411,0,0,1,"POPU","TRE",NA,67,0.615,"2004-JUL-29",6030000,670000
"75",1266411,0,0,2,"SALI","SPP",NA,22,0.308,"2004-JUL-29",6030000,670000
"76",1266411,0,0,3,"BETU","PAP",NA,11,0.077,"2004-JUL-29",6030000,670000
"77",1266411,0,1,1,"POPU","TRE",NA,59,0.605,"2012-AUG-05",6030000,670000
"78",1266411,0,1,2,"BETU","PAP",NA,41,0.395,"2012-AUG-05",6030000,670000
"79",1266441,0,0,1,"PICE","MAR",NA,100,1,"2006-SEP-09",5990000,390000
"80",1266441,0,1,1,"PICE","MAR",NA,100,1,"2016-SEP-04",5990000,390000
"81",1266451,0,0,1,"PICE","MAR",NA,100,1,"2006-SEP-10",5980000,430000
"82",1266451,0,1,1,"PICE","MAR",NA,100,1,"2015-SEP-01",5980000,430000
"83",1266471,0,0,1,"PICE","MAR",NA,100,1,"2004-SEP-15",5960000,510000
"84",1266471,0,1,1,"PICE","MAR",NA,100,1,"2009-AUG-28",5960000,510000
"85",1266471,0,2,1,"PICE","MAR",NA,100,1,"2018-JUL-23",5960000,510000
"86",1266481,0,0,1,"ABIE","BAL",NA,81,0.8,"2003-SEP-08",5950000,550000
"87",1266481,0,0,2,"BETU","PAP",NA,17,0.15,"2003-SEP-08",5950000,550000
"88",1266481,0,0,3,"POPU","TRE",NA,2,0.05,"2003-SEP-08",5950000,550000
"89",1266481,0,1,1,"ABIE","BAL",NA,83,0.816,"2013-AUG-31",5950000,550000
"90",1266481,0,1,2,"BETU","PAP",NA,14,0.158,"2013-AUG-31",5950000,550000
"91",1266481,0,1,3,"POPU","TRE",NA,3,0.026,"2013-AUG-31",5950000,550000
"92",1266491,0,0,1,"POPU","TRE",NA,55,0.917,"2003-AUG-23",5930000,590000
"93",1266491,0,0,2,"PICE","MAR",NA,45,0.083,"2003-AUG-23",5930000,590000
"94",1266491,0,1,1,"POPU","TRE",NA,99,0.983,"2009-AUG-31",5930000,590000
"95",1266491,0,1,2,"BETU","PAP",NA,1,0.017,"2009-AUG-31",5930000,590000
"96",1266491,0,2,1,"POPU","TRE",NA,99,0.934,"2019-AUG-25",5930000,590000
"97",1266511,0,0,1,"ABIE","BAL",NA,100,1,"2004-SEP-24",5910000,660000
"98",1266511,0,1,1,"ABIE","BAL",NA,100,1,"2017-OCT-05",5910000,660000
"99",1280161,0,0,1,"PICE","GLA",NA,94,0.75,"2004-SEP-29",6000000,620000
"100",1280161,0,0,2,"SALI","SPP",NA,4,0.167,"2004-SEP-29",6000000,620000
"101",1280161,0,0,3,"PICE","MAR",NA,2,0.083,"2004-SEP-29",6000000,620000
"102",1280161,0,1,1,"PICE","GLA",NA,77,0.5,"2012-AUG-08",6000000,620000
"103",1280161,0,1,2,"PICE","MAR",NA,24,0.5,"2012-AUG-08",6000000,620000
"104",1280171,0,0,1,"POPU","TRE",NA,100,1,"2004-JUL-30",5990000,660000
"105",1280171,0,1,1,"POPU","TRE",NA,100,1,"2014-AUG-07",5990000,660000
"106",1280181,0,0,1,"SALI","SPP",NA,100,1,"2004-JUL-20",5980000,310000
"107",1280181,0,1,1,"POPU","BAL",NA,100,1,"2011-JUL-12",5980000,310000
"108",1280201,0,0,1,"POPU","TRE",NA,94,0.833,"2004-JUL-21",5960000,380000
"109",1280201,0,0,2,"SALI","SPP",NA,6,0.167,"2004-JUL-21",5960000,380000
"110",1280201,0,1,1,"POPU","TRE",NA,92,0.857,"2011-JUL-13",5960000,380000
"111",1280201,0,1,2,"SALI","SPP",NA,8,0.143,"2011-JUL-13",5960000,380000
"112",1280211,0,0,1,"BETU","PAP",NA,57,0.571,"2006-SEP-10",5940000,420000
"113",1280211,0,0,2,"SALI","SPP",NA,29,0.286,"2006-SEP-10",5940000,420000
"114",1280211,0,0,3,"POPU","TRE",NA,14,0.143,"2006-SEP-10",5940000,420000
"115",1280211,0,1,1,"BETU","PAP",NA,97,0.7,"2015-SEP-02",5940000,420000
"116",1280211,0,1,2,"POPU","TRE",NA,3,0.3,"2015-SEP-02",5940000,420000
"117",1280241,0,0,1,"CORY","COR",NA,93,0.958,"2004-SEP-28",5910000,540000
"118",1280241,0,0,2,"POPU","TRE",NA,7,0.042,"2004-SEP-28",5910000,540000
"119",1280241,0,1,1,"POPU","TRE",NA,95,0.818,"2009-AUG-31",5910000,540000
"120",1280241,0,1,2,"PRUN","SPP",NA,3,0.091,"2009-AUG-31",5910000,540000
"121",1280241,0,1,3,"SALI","SPP",NA,3,0.091,"2009-AUG-31",5910000,540000
"122",1280241,0,2,1,"POPU","TRE",NA,90,0.75,"2019-AUG-24",5910000,540000
"123",1280241,0,2,2,"PRUN","PEN",NA,10,0.25,"2019-AUG-24",5910000,540000
"124",1280271,0,0,1,"PICE","MAR",NA,96,0.885,"2004-SEP-25",5870000,650000
"125",1280271,0,0,2,"LARI","LAR",NA,4,0.115,"2004-SEP-25",5870000,650000
"126",1280271,0,1,1,"PICE","MAR",NA,98,0.741,"2013-AUG-30",5870000,650000
"127",1280271,0,1,2,"LARI","LAR",NA,2,0.259,"2013-AUG-30",5870000,650000
"128",1293931,0,0,1,"PICE","MAR",NA,88,0.933,"2004-JUL-19",5950000,650000
"129",1293931,0,0,2,"PINU","BAN",NA,12,0.067,"2004-JUL-19",5950000,650000
"130",1293931,0,1,1,"PICE","GLA",NA,80,0.875,"2012-AUG-04",5950000,650000
"131",1293931,0,1,2,"PICE","MAR",NA,20,0.125,"2012-AUG-04",5950000,650000
"132",1294021,0,0,1,"ALNU","RUG",NA,86,0.857,"2003-SEP-04",5850000,600000
"133",1294021,0,0,2,"BETU","NAN",NA,14,0.143,"2003-SEP-04",5850000,600000
"134",1294021,0,1,1,"LARI","LAR",NA,100,1,"2013-AUG-28",5850000,600000
"135",1294041,0,0,1,"CORY","COR",NA,33,0.333,"2004-SEP-26",5820000,680000
"136",1294041,0,0,2,"AMEL","ALN",NA,30,0.296,"2004-SEP-26",5820000,680000
"137",1294041,0,0,3,"POPU","BAL",NA,11,0.111,"2004-SEP-26",5820000,680000
"138",1294041,0,0,4,"PRUN","VIR",NA,11,0.111,"2004-SEP-26",5820000,680000
"139",1294041,0,0,5,"POPU","TRE",NA,7,0.074,"2004-SEP-26",5820000,680000
"140",1294041,0,0,6,"BETU","PAP",NA,4,0.037,"2004-SEP-26",5820000,680000
"141",1294041,0,0,7,"CORN","STO",NA,4,0.037,"2004-SEP-26",5820000,680000
"142",1294041,0,1,3,"BETU","PAP",NA,4,0.143,"2013-AUG-29",5820000,680000
"143",1294051,0,0,1,"ALNU","INC",NA,80,0.905,"2004-SEP-25",5810000,310000
