"","nfi_plot","meas_date","smtree_biomass","loc_id","meas_num","species_num","genus","species","variety","smtree_percent","species_strel","utm_n","utm_e","smtree_percent/100","smtree_percent/100 * smtree_biomass"
"229",1355591,"2014-JUL-28",72.9758,0,1,3,"PICE","ENG","GLA",23,0.179,5910000,390000,0.23,16.784434
"230",1355591,"2014-JUL-28",72.9758,0,1,2,"PICE","MAR","",25,0.286,5910000,390000,0.25,18.24395
"231",1355646,"2003-JUL-08",46.5865,0,0,1,"ABIE","LAS","",100,1,5900000,610000,1,46.5865
"232",1355646,"2013-SEP-15",8.4113,0,1,1,"ABIE","LAS","",100,1,5900000,610000,1,8.4113
"233",1355666,"2003-JUL-16",265.0711,0,0,4,"PICE","ENG","GLA",13,0.121,5890000,690000,0.13,34.459243
"234",1355666,"2003-JUL-16",265.0711,0,0,3,"PINU","CON","LAT",19,0.152,5890000,690000,0.19,50.363509
"235",1355666,"2003-JUL-16",265.0711,0,0,1,"TSUG","HET","",42,0.455,5890000,690000,0.42,111.329862
"236",1355666,"2003-JUL-16",265.0711,0,0,2,"THUJ","PLI","",26,0.273,5890000,690000,0.26,68.918486
"237",1355666,"2016-JUL-22",63.035,0,1,3,"PICE","ENG","GLA",25,0.2,5890000,290000,0.25,15.75875
"238",1362476,"2004-JUL-29",68.305,0,0,1,"PICE","SPP","",100,1,5890000,410000,1,68.305
"239",1362476,"2013-AUG-28",0.0182,0,1,1,"POPU","TRE","",100,1,5890000,410000,1,0.0182
"240",1369366,"2003-JUL-03",25.7731,0,0,1,"PINU","CON","LAT",100,1,5860000,450000,1,25.7731
"241",1369366,"2013-AUG-27",38.6665,0,1,1,"PINU","CON","LAT",100,1,5860000,450000,1,38.6665
"242",1369371,"2002-JUL-16",301.5805,0,0,2,"PICE","MAR","",36,0.31,5860000,470000,0.36,108.56898
"243",1369371,"2002-JUL-16",301.5805,0,0,1,"PINU","CON","LAT",64,0.69,5860000,470000,0.64,193.01152
"244",1369371,"2009-AUG-06",273.7416,0,1,1,"PINU","CON","LAT",61,0.618,5860000,470000,0.61,166.982376
"245",1369371,"2009-AUG-06",273.7416,0,1,2,"PICE","MAR","",39,0.382,5860000,470000,0.39,106.759224
"246",1369371,"2013-AUG-28",181.1872,0,2,1,"PINU","CON","LAT",68,0.688,5860000,470000,0.68,123.207296
"247",1369371,"2013-AUG-28",181.1872,0,2,2,"PICE","MAR","",32,0.313,5860000,470000,0.32,57.979904
"248",1369386,"2002-JUL-18",52.3892,0,0,1,"PINU","CON","LAT",95,0.973,5860000,530000,0.95,49.76974
"249",1369386,"2002-JUL-18",52.3892,0,0,2,"POPU","TRE","",5,0.027,5860000,530000,0.05,2.61946
"250",1369386,"2013-AUG-22",107.8015,0,1,1,"PINU","CON","LAT",58,0.5,5860000,530000,0.58,62.52487
"251",1369386,"2013-AUG-22",107.8015,0,1,2,"POPU","TRE","",42,0.429,5860000,530000,0.42,45.27663
"252",1369386,"2013-AUG-22",107.8015,0,1,3,"PICE","ENG","",0,0.071,5860000,530000,0,0
"253",1376271,"2002-JUL-17",3.706,0,0,1,"PSEU","MEN","GLA",100,1,5840000,550000,1,3.706
"254",1376271,"2013-AUG-31",0.9743,0,1,2,"PICE","ENG","",13,0.167,5840000,550000,0.13,0.126659
"255",1376271,"2013-AUG-31",0.9743,0,1,1,"PINU","CON","",87,0.833,5840000,550000,0.87,0.847641
"256",1376296,"2002-JUL-12",31.02,0,0,1,"ABIE","LAS","",100,1,5830000,650000,1,31.02
"257",1376296,"2013-AUG-23",6.9346,0,1,1,"ABIE","LAS","",100,1,5830000,650000,1,6.9346
"258",1383116,"2004-JUN-20",76.1289,0,0,1,"PICE","SPP","",100,1,5830000,410000,1,76.1289
"259",1383116,"2013-AUG-07",16.0816,0,1,1,"PICE","ENG","",100,1,5830000,410000,1,16.0816
"260",1383146,"2003-JUL-05",38.4241,0,0,1,"PSEU","MEN","GLA",100,1,5820000,530000,1,38.4241
"261",1383146,"2013-SEP-14",53.333,0,1,1,"PSEU","MEN","GLA",100,1,5820000,530000,1,53.333
"262",1396871,"2003-JUN-26",258.0102,0,0,2,"PICE","ENG","GLA",5,0.033,5790000,390000,0.05,12.90051
"263",1396871,"2003-JUN-26",258.0102,0,0,1,"PINU","CON","LAT",95,0.967,5790000,390000,0.95,245.10969
"264",1396871,"2013-AUG-09",157.8033,0,1,1,"PINU","CON","LAT",89,0.933,5790000,390000,0.89,140.444937
"265",1396871,"2013-AUG-09",157.8033,0,1,2,"PICE","ENG","",11,0.067,5790000,390000,0.11,17.358363
"266",1396896,"2003-JUL-07",262.8137,0,0,2,"POPU","TRE","",2,0.096,5780000,490000,0.02,5.256274
"267",1396896,"2003-JUL-07",262.8137,0,0,1,"PINU","CON","LAT",98,0.904,5780000,490000,0.98,257.557426
"268",1396896,"2013-SEP-12",179.8648,0,1,1,"PINU","CON","LAT",99,0.808,5780000,490000,0.99,178.066152
"269",1396896,"2013-SEP-12",179.8648,0,1,2,"POPU","TRE","",1,0.192,5780000,490000,0.01,1.798648
"270",1396931,"2001-OCT-04",5.0635,0,0,1,"PICE","SPP","",100,1,5780000,630000,1,5.0635
"271",1396931,"2009-AUG-19",5.0635,0,1,1,"PICE","SPP","",100,1,5780000,630000,1,5.0635
"272",1396931,"2013-JUL-23",10.5266,0,2,1,"PICE","ENG","",37,0.5,5780000,630000,0.37,3.894842
"273",1396931,"2013-JUL-23",10.5266,0,2,2,"ABIE","LAS","",31,0.375,5780000,630000,0.31,3.263246
"274",1396936,"2003-JUL-24",77.9611,0,0,1,"ABIE","LAS","",100,1,5770000,650000,1,77.9611
"275",1396936,"2013-JUL-19",3.2306,0,1,1,"ABIE","LAS","",100,1,5770000,650000,1,3.2306
"276",1403871,"2003-JUL-20",99.2769,0,0,2,"PICE","ENG","",20,0.3,5730000,450000,0.2,19.85538
"277",1403871,"2003-JUL-20",99.2769,0,0,1,"ABIE","LAS","",80,0.7,5730000,450000,0.8,79.42152
"278",1403871,"2016-JUL-20",17.6439,0,1,1,"ABIE","LAS","",100,1,5730000,450000,1,17.6439
"279",1410631,"2003-JUL-08",299.3527,0,0,1,"PINU","CON","LAT",100,1,5750000,380000,1,299.3527
"280",1410631,"2013-AUG-10",131.9477,0,1,1,"PINU","CON","LAT",100,1,5750000,380000,1,131.9477
"281",1410696,"2002-JUN-18",95.4907,0,0,1,"PSEU","MEN","GLA",100,1,5730000,640000,1,95.4907
"282",1410761,"2002-JUL-09",144.2331,0,0,3,"BETU","PAP","",25,0.067,5710000,490000,0.25,36.058275
"283",1410761,"2002-JUL-09",144.2331,0,0,4,"ABIE","LAS","",7,0.017,5710000,490000,0.07,10.096317
"284",1417521,"2004-JUN-24",182.8297,0,0,1,"PINU","CON","LAT",100,1,5720000,420000,1,182.8297
"285",1417521,"2013-AUG-13",89.8511,0,1,1,"PINU","CON","LAT",99,0.909,5720000,420000,0.99,88.952589
"286",1417521,"2013-AUG-13",89.8511,0,1,2,"PICE","ENG","",1,0.091,5720000,420000,0.01,0.898511
"287",1417526,"2003-AUG-27",49.0765,0,0,1,"PINU","CON","LAT",100,1,5720000,440000,1,49.0765
"288",1417526,"2013-AUG-24",23.0077,0,1,1,"PINU","CON","LAT",100,1,5720000,440000,1,23.0077
"289",1417536,"2004-JUN-14",636.6667,0,0,1,"PINU","CON","LAT",100,1,5720000,480000,1,636.6667
"290",1417536,"2013-AUG-17",273.3926,0,1,1,"PINU","CON","LAT",100,1,5720000,480000,1,273.3926
"291",1417566,"2002-JUL-11",10.0005,0,0,1,"PINU","CON","LAT",100,1,5720000,600000,1,10.0005
