"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"31",1149546,"2004-JUL-22",0,0.09,0.12,0.25,0,0,0
"32",1149546,"2015-AUG-19",1,0.11,0.15,0.26,0,0,0
"33",1149556,"2004-JUL-24",0,0.69,1,1.44,0.32,0.46,0.19
"34",1149556,"2015-AUG-20",1,0.69,1,1.44,0,0,0
"35",1149626,"2004-JUL-09",0,0.68,0.98,0.31,0.42,0.38,0.61
"36",1149626,"2017-JUN-20",1,0.4,0.58,0.3,0,0,0
"37",1149636,"2003-JUL-18",0,0.68,0.99,0.51,0,0,0
"38",1149636,"2017-JUN-09",1,0.56,0.81,0.48,0,0,0
"39",1149661,"2003-JUL-17",0,0,0,0,0,0,0
"40",1149681,"2003-JUL-19",0,0.58,0.84,0.37,0,0,0
"41",1156421,"2004-JUN-23",0,0,0,0,0.41,0.59,0.51
