"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"482",1506946,"2000-AUG-24",0,1.09,0.79,0.96,0,0,0
"483",1506946,"2016-JUN-22",1,1.02,0.74,0.83,0,0,0
"484",1506996,"2005-MAY-10",0,1.1,1,0.56,0,0,0
"485",1506996,"2016-AUG-09",1,1.09,0.99,0.59,0,0,0
"486",1507026,"2001-AUG-23",0,0.47,0.43,0.64,0.97,0.7,1
"487",1507026,"2013-SEP-05",1,0.9,0.82,0.72,0.69,0.99,0.46
"488",1507036,"2003-JUL-15",0,0.19,0.27,0.24,0,0,0
"489",1507036,"2013-SEP-10",1,0.15,0.21,0.25,0,0,0
"490",1507051,"2002-JUL-04",0,0.62,0.89,0.39,0,0,0
"491",1507051,"2015-AUG-08",1,0.68,0.61,0.63,0,0,0
"492",1507066,"2003-JUN-03",0,0.21,0.3,0.34,0.89,0.81,0.52
"493",1507066,"2015-AUG-09",1,0.38,0.54,0.36,0.96,0.87,0.71
"494",1507071,"2003-JUN-27",0,0.6,0.86,0.51,0,0,0
"495",1507071,"2015-JUL-24",1,0.6,0.86,0.51,0,0,0
"496",1513916,"2002-JUL-03",0,0.09,0.13,0.25,0,0,0
"497",1513916,"2015-AUG-13",1,0.09,0.13,0.25,0,0,0
"498",1520716,"2001-OCT-30",0,0.78,0.57,0.72,0.44,0.4,0.71
"499",1520716,"2016-JUN-20",1,0.73,0.52,0.74,0,0,0
"500",1534491,"2000-JUN-22",0,0,0,0,0,0,0
"501",1534491,"2009-AUG-24",1,0,0,0,0,0,0
"502",1534491,"2016-JUN-21",2,0.15,0.21,0.3,1.09,0.99,0.78
