"","nfi_plot","loc_id","meas_num","genus","species","variety","species_num","species_strel","smtree_species_num","smtree_percent","meas_date","utm_n","utm_e"
"113",1259476,0,0,"BETU","PAP",NA,4,0.012,4,7,"2006-AUG-29",6090000,460000
"114",1259476,0,0,"PICE","GLA",NA,3,0.023,3,7,"2006-AUG-29",6090000,460000
"115",1259476,0,0,"POPU","BAL",NA,2,0.314,2,9,"2006-AUG-29",6090000,460000
"116",1259476,0,0,"POPU","TRE",NA,1,0.651,1,78,"2006-AUG-29",6090000,460000
"117",1259476,1,0,"PICE","GLA",NA,3,0.026,3,0,"2007-JUN-02",6090000,460000
"118",1259476,1,0,"POPU","BAL",NA,2,0.316,2,6,"2007-JUN-02",6090000,460000
"119",1259476,1,0,"POPU","TRE",NA,1,0.658,1,94,"2007-JUN-02",6090000,460000
"120",1266251,0,0,"POPU","TRE",NA,1,1,1,100,"2013-JUN-13",6140000,420000
"121",1266286,0,0,"BETU","PAP",NA,1,0.732,1,76,"2006-AUG-21",6120000,560000
"122",1266286,0,0,"PICE","GLA",NA,2,0.239,2,23,"2006-AUG-21",6120000,560000
"123",1266286,0,0,"POPU","TRE",NA,3,0.028,3,1,"2006-AUG-21",6120000,560000
"124",1266321,0,0,"BETU","PAP",NA,1,0.556,2,14,"2006-AUG-30",6100000,320000
"125",1266321,0,0,"POPU","TRE",NA,2,0.444,1,86,"2006-AUG-30",6100000,320000
"126",1266321,1,0,"LARI","LAR",NA,2,0.207,2,10,"2014-JUN-12",6100000,320000
"127",1266321,1,0,"PICE","GLA",NA,1,0.793,1,90,"2014-JUN-12",6100000,320000
"128",1266326,0,0,"ABIE","BAL",NA,2,0.4,1,95,"2014-MAY-31",6100000,340000
"129",1266326,0,0,"PICE","GLA",NA,1,0.5,2,5,"2014-MAY-31",6100000,340000
"130",1273136,0,0,"POPU","TRE",NA,1,1,1,100,"2006-AUG-15",6120000,440000
"131",1286891,0,0,"LARI","LAR",NA,2,0.065,2,10,"2008-JUN-03",6080000,410000
"132",1286891,0,0,"PICE","MAR",NA,1,0.935,1,90,"2008-JUN-03",6080000,410000
"133",1286916,0,0,"PICE","GLA",NA,1,0.462,1,44,"2006-AUG-16",6070000,510000
"134",1286916,0,0,"PICE","MAR",NA,2,0.385,2,33,"2006-AUG-16",6070000,510000
"135",1286916,0,0,"POPU","TRE",NA,3,0.154,3,23,"2006-AUG-16",6070000,510000
