"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"173",1259661,0,2,1,"PICE","MAR","",100,1,"2018-AUG-23",5890000,380000
"174",1259711,0,0,1,"LARI","LAR","",100,1,"2003-JUL-19",5810000,570000
"175",1259711,0,1,1,"LARI","LAR","",87.4,0.833,"2009-JUL-08",5810000,570000
"176",1259711,0,1,2,"PICE","MAR","",12.6,0.167,"2009-JUL-08",5810000,570000
"177",1259731,0,0,1,"PICE","MAR","",54,0.614,"2003-JUL-02",5780000,640000
"178",1259731,0,0,2,"PINU","BAN","",46,0.386,"2003-JUL-02",5780000,640000
"179",1259731,0,1,1,"PICE","MAR","",57.3,0.655,"2009-JUL-06",5780000,640000
"180",1259731,0,1,2,"PINU","BAN","",42.7,0.345,"2009-JUL-06",5780000,640000
"181",1259731,0,2,1,"PICE","MAR","",65.1,0.729,"2019-JUN-24",5780000,640000
"182",1259731,0,2,2,"PINU","BAN","",34.9,0.271,"2019-JUN-24",5780000,640000
"183",1259736,0,1,1,"LARI","LAR","",100,1,"2013-AUG-20",5780000,660000
"184",1266546,0,0,1,"PICE","MAR","",95.1,0.968,"2003-JUL-29",5860000,390000
"185",1266546,0,0,2,"LARI","LAR","",4.9,0.032,"2003-JUL-29",5860000,390000
"186",1266546,0,1,1,"PICE","MAR","",94.8,0.968,"2008-AUG-09",5860000,390000
"187",1266546,0,1,2,"LARI","LAR","",5.2,0.032,"2008-AUG-09",5860000,390000
"188",1266546,0,2,1,"PICE","MAR","",94.3,0.969,"2018-AUG-21",5860000,390000
"189",1266546,0,2,2,"LARI","LAR","",5.7,0.031,"2018-AUG-21",5860000,390000
"190",1273421,0,0,1,"POPU","TRE","",72.1,0.833,"2003-JUN-09",5850000,370000
"191",1273421,0,0,2,"PICE","GLA","",15.1,0.083,"2003-JUN-09",5850000,370000
"192",1273421,0,0,3,"BETU","PAP","PAP",9.9,0.056,"2003-JUN-09",5850000,370000
"193",1273421,0,0,4,"LARI","LAR","",2.8,0.028,"2003-JUN-09",5850000,370000
"194",1273421,0,1,1,"POPU","TRE","",57.9,0.714,"2008-JUN-18",5850000,370000
"195",1273421,0,1,2,"PICE","GLA","",22.3,0.114,"2008-JUN-18",5850000,370000
"196",1273421,0,1,3,"BETU","PAP","",12.1,0.086,"2008-JUN-18",5850000,370000
"197",1273421,0,2,1,"POPU","TRE","",45.2,0.647,"2018-JUL-31",5850000,370000
"198",1273421,0,2,2,"PICE","GLA","",27,0.118,"2018-JUL-31",5850000,370000
"199",1273421,0,2,5,"LARI","LAR","",8.1,0.029,"2018-JUL-31",5850000,370000
"200",1273451,0,0,1,"PINU","BAN","",76.1,0.75,"2003-AUG-12",5810000,480000
"201",1273451,0,0,2,"PICE","MAR","",23.9,0.25,"2003-AUG-12",5810000,480000
"202",1273451,0,1,1,"PINU","BAN","",70.1,0.722,"2009-AUG-09",5810000,480000
"203",1273451,0,1,2,"PICE","MAR","",29.9,0.278,"2009-AUG-09",5810000,480000
"204",1273466,0,0,1,"LARI","LAR","",58.7,0.556,"2003-AUG-14",5780000,530000
"205",1273466,0,0,2,"PICE","MAR","",41.3,0.444,"2003-AUG-14",5780000,530000
"206",1280296,0,0,1,"PICE","MAR","",96.6,0.979,"2003-JUL-29",5840000,340000
"207",1280296,0,0,2,"PINU","BAN","",3.4,0.021,"2003-JUL-29",5840000,340000
"208",1280296,0,1,1,"PICE","MAR","",96.4,0.978,"2008-AUG-08",5840000,340000
"209",1280296,0,1,2,"PINU","BAN","",3.6,0.022,"2008-AUG-08",5840000,340000
"210",1280296,0,2,1,"PICE","MAR","",98,0.989,"2018-SEP-10",5840000,340000
"211",1280296,0,2,2,"PINU","BAN","",2,0.011,"2018-SEP-10",5840000,340000
