"","nfi_plot","loc_id","meas_num","species_num","genus","species","variety","percent","species_ltrel","meas_date","utm_n","utm_e"
"255",1224916,0,1,3,"BETU","NEO","",2.8,0.034,"2019-JUL-22",6280000,590000
"256",1231676,0,1,1,"PICE","SPP","",90.4,0.774,"2021-JUL-26",6260000,470000
"257",1231676,0,1,2,"ABIE","LAS","",9.6,0.226,"2021-JUL-26",6260000,470000
"258",1231761,0,0,1,"PICE","ENG","GLA",70.2,0.698,"2000-AUG-01",6260000,450000
"259",1231761,0,0,2,"POPU","BAL","",17.8,0.209,"2000-AUG-01",6260000,450000
"260",1231761,0,1,1,"PICE","ENG","GLA",60.5,1,"2018-JUL-20",6260000,450000
"261",1231781,0,0,1,"PINU","CON","LAT",62,0.674,"2002-JUL-18",6260000,530000
"262",1231781,0,0,2,"PICE","GLA","",26.8,0.209,"2002-JUL-18",6260000,530000
"263",1231781,0,0,3,"POPU","TRE","",10,0.07,"2002-JUL-18",6260000,530000
"264",1231781,0,0,4,"BETU","PAP","",1.2,0.047,"2002-JUL-18",6260000,530000
"265",1231781,0,1,1,"PICE","GLA","",56.2,0.538,"2019-JUL-24",6260000,530000
"266",1238556,0,0,1,"ABIE","LAS","",94.2,0.588,"2003-JUL-03",6240000,480000
"267",1238556,0,0,2,"TSUG","MER","",4.9,0.353,"2003-JUL-03",6240000,480000
"268",1238556,0,0,3,"TSUG","HET","",0.9,0.059,"2003-JUL-03",6240000,480000
"269",1238556,0,1,1,"ABIE","LAS","",92,0.5,"2021-AUG-10",6240000,480000
"270",1238556,0,1,2,"TSUG","MER","",5.9,0.389,"2021-AUG-10",6240000,480000
"271",1238556,0,1,3,"TSUG","HET","",2.2,0.111,"2021-AUG-10",6240000,480000
"272",1245451,0,0,1,"ABIE","LAS","",76.8,0.705,"2002-AUG-03",6220000,540000
"273",1245451,0,0,2,"TSUG","MER","",23.2,0.295,"2002-AUG-03",6220000,540000
"274",1245451,0,1,1,"ABIE","LAS","",72.3,0.674,"2021-AUG-12",6220000,540000
"275",1245451,0,1,2,"TSUG","MER","",27.7,0.326,"2021-AUG-12",6220000,540000
"276",1245481,0,0,1,"ABIE","LAS","",99.6,0.98,"2002-AUG-16",6230000,660000
"277",1245481,0,0,2,"PICE","ENG","",0.4,0.02,"2002-AUG-16",6230000,660000
"278",1245481,0,1,1,"ABIE","LAS","",99.6,0.976,"2017-JUL-24",6230000,660000
"279",1245481,0,1,2,"PICE","ENG","",0.4,0.024,"2017-JUL-24",6230000,660000
"280",1245546,0,0,1,"PICE","MAR","",64.6,0.781,"2000-JUL-30",6220000,540000
"281",1245546,0,0,2,"PICE","GLA","",27.9,0.141,"2000-JUL-30",6220000,540000
"282",1245546,0,0,3,"POPU","BAL","",5.9,0.047,"2000-JUL-30",6220000,540000
"283",1245546,0,0,4,"BETU","PAP","",0.8,0.016,"2000-JUL-30",6220000,540000
"284",1245546,0,0,5,"PICE","ENG","GLA",0.8,0.016,"2000-JUL-30",6220000,540000
"285",1245546,0,1,3,"POPU","BAL","",11.2,0.125,"2019-SEP-10",6220000,540000
"286",1245546,0,1,4,"BETU","PAP","",4.1,0.075,"2019-SEP-10",6220000,540000
"287",1245546,0,1,5,"POPU","TRE","",0.6,0.025,"2019-SEP-10",6220000,540000
