"","nfi_plot","meas_date","meas_num","bindex_ltshannon","bindex_lteven","bindex_ltmargalef","bindex_stshannon","bindex_steven","bindex_stmargalef"
"164",880821,"2005-AUG-01",0,0.45,0.65,0.56,1.38,0.86,1.14
"165",880821,"2021-JUL-14",1,0,0,0,0.66,0.6,0.68
"166",880841,"2002-AUG-07",0,0,0,0,0.6,0.86,0.38
"167",880841,"2019-AUG-03",1,0,0,0,0,0,0
"168",880846,"2002-AUG-09",0,0,0,0,0.64,0.92,0.56
"169",880846,"2019-AUG-04",1,0.64,0.92,0.56,0.68,0.99,0.51
"170",880886,"2005-AUG-03",0,0.68,0.99,0.51,0.82,0.74,0.59
"171",880886,"2019-AUG-07",1,1.03,0.94,0.87,0,0,0
"172",887701,"2005-AUG-02",0,0,0,0,0.91,0.66,0.99
"173",887701,"2021-JUL-13",1,0,0,0,0,0,0
"174",887706,"2005-JUL-31",0,0,0,0,0.95,0.86,1.24
"175",887706,"2019-AUG-02",1,0,0,0,0.23,0.34,0.36
"176",887711,"2002-AUG-09",0,0.19,0.27,0.27,0,0,0
"177",887711,"2019-AUG-01",1,0.52,0.75,0.38,0,0,0
"178",887751,"2005-AUG-03",0,0.71,0.65,0.68,0.79,0.57,1.17
"179",887751,"2019-AUG-05",1,0.71,0.64,0.65,0.76,0.69,0.83
"180",887761,"2005-AUG-04",0,0.45,0.65,0.28,1.3,0.94,0.88
"181",887761,"2019-AUG-08",1,0.57,0.83,0.26,0.98,0.89,0.72
"182",894591,"2005-JUL-30",0,1,0.91,1.03,1.38,0.85,1.11
"183",894591,"2019-JUL-31",1,0.61,0.56,0.56,1.18,0.85,0.82
"184",901471,"2005-JUL-30",0,0,0,0,0.22,0.32,0.25
"185",901471,"2019-JUL-30",1,0,0,0,0.69,1,0.33
"186",901506,"2006-JUL-29",0,0.64,0.92,0.91,0.67,0.96,0.39
"187",901506,"2019-AUG-05",1,0.56,0.81,0.72,0.69,1,0.37
"188",901546,"2006-JUL-30",0,0.69,0.99,0.46,0.72,0.65,0.54
"189",901546,"2019-AUG-06",1,1.07,0.97,0.83,0.68,0.62,0.55
"190",901566,"2005-AUG-05",0,0,0,0,0,0,0
"191",901566,"2019-AUG-06",1,0.25,0.35,0.37,0,0,0
"192",908331,"2002-AUG-19",0,0.22,0.32,0.35,0,0,0
"193",908331,"2021-JUL-14",1,0,0,0,0,0,0
"194",908381,"2005-JUL-29",0,0,0,0,0,0,0
"195",908381,"2019-AUG-02",1,0,0,0,0,0,0
"196",915246,"2002-AUG-28",0,0,0,0,0.11,0.1,0.44
"197",915246,"2019-JUL-31",1,0,0,0,0.22,0.32,0.35
"198",915266,"2005-AUG-29",0,0,0,0,0.35,0.25,0.76
"199",915266,"2019-AUG-01",1,1.04,0.95,1.44,0,0,0
"200",915301,"2005-AUG-04",0,0,0,0,0.67,0.97,0.62
"201",915301,"2019-AUG-09",1,0,0,0,1.11,0.8,0.81
"202",922181,"2005-AUG-06",0,0.67,0.97,0.37,1.19,0.86,0.88
"203",922181,"2019-AUG-07",1,0.96,0.87,0.71,0.91,0.83,0.78
"204",929016,"2004-AUG-28",0,0,0,0,0,0,0
"205",929016,"2018-AUG-23",1,0,0,0,0,0,0
"206",929021,"2004-AUG-29",0,0,0,0,0,0,0
"207",929021,"2018-AUG-24",1,0,0,0,0,0,0
"208",929061,"2005-AUG-05",0,0.69,1,1.44,0.74,0.53,0.9
"209",929061,"2018-AUG-29",1,0.69,1,1.44,0.28,0.4,0.24
"210",929066,"2005-AUG-06",0,0.35,0.5,0.46,0.35,0.5,0.28
"211",929066,"2019-AUG-09",1,0.56,0.81,0.4,0.64,0.58,0.5
"212",935891,"2004-AUG-30",0,0,0,0,0.69,0.99,0.36
"213",935891,"2019-JUL-30",1,0,0,0,1.15,0.83,0.82
"214",942786,"2004-SEP-01",0,0,0,0,0,0,0
"215",942786,"2018-AUG-25",1,0,0,0,0,0,0
"216",949656,"2004-SEP-02",0,0.19,0.28,0.24,0.61,0.88,0.43
"217",949656,"2018-AUG-27",1,0.19,0.27,0.24,0.64,0.92,0.91
"218",956641,"2004-JUL-19",0,0.56,0.81,0.4,0.18,0.26,0.32
"219",956641,"2015-AUG-26",1,0,0,0,0,0,0
"220",963446,"2004-AUG-27",0,0.56,0.81,0.72,0,0,0
"221",963511,"2004-JUL-19",0,0.6,0.86,0.33,0.86,0.78,0.74
"222",963511,"2015-AUG-25",1,0.55,0.79,0.35,1.01,0.92,0.74
"223",963521,"2004-JUL-19",0,0.56,0.81,0.72,0.11,0.16,0.22
"224",963521,"2015-AUG-26",1,0,0,0,0,0,0
"225",970321,"2004-AUG-25",0,1.07,0.97,0.62,0.56,0.81,0.72
"226",970321,"2018-AUG-20",1,1.04,0.94,0.65,0,0,0
"227",970336,"2005-JUL-27",0,0,0,0,0.34,0.48,0.34
"228",970336,"2018-AUG-28",1,0,0,0,0,0,0
"229",977196,"2004-AUG-26",0,0.47,0.42,0.59,0.64,0.92,0.56
"230",977196,"2018-AUG-26",1,0.4,0.36,0.59,0.45,0.65,0.56
"231",977211,"2004-SEP-03",0,0,0,0,0.61,0.88,0.43
"232",977211,"2018-AUG-30",1,0,0,0,0,0,0
"233",977281,"2004-JUL-18",0,0,0,0,0.1,0.14,0.26
"234",977281,"2015-AUG-25",1,0.47,0.68,0.42,0.68,0.98,0.25
"235",984081,"2004-AUG-31",0,0,0,0,0,0,0
"236",984081,"2018-AUG-21",1,0,0,0,0,0,0
"237",997836,"2005-JUL-28",0,0,0,0,1.09,0.79,0.91
"238",997836,"2018-AUG-22",1,0,0,0,0.91,0.83,0.55
"239",997846,"2005-JUL-27",0,0.56,0.81,0.48,1.44,0.8,1.43
"240",997846,"2018-AUG-31",1,0.61,0.88,0.43,0.88,0.8,0.53
"241",997851,"2005-JUL-28",0,0,0,0,0.47,0.67,0.35
"242",997851,"2018-AUG-31",1,0,0,0,0,0,0
"243",997881,"2005-JUL-26",0,0,0,0,0.9,0.65,0.96
"244",997881,"2018-AUG-19",1,0,0,0,0.58,0.52,0.53
"245",997886,"2004-JUL-16",0,0,0,0,0.1,0.09,0.43
"246",997886,"2021-JUL-23",1,0.47,0.67,0.35,0.29,0.26,0.42
"247",997891,"2004-JUL-16",0,0,0,0,0,0,0
"248",997891,"2021-JUL-23",1,0,0,0,0.09,0.13,0.25
